date,value
2020-01-01,100.99342830602247
2020-01-02,99.99548715184024
2020-01-03,101.83935768233748
2020-01-04,103.86190338151013
2020-01-05,100.61924733536473
2020-01-06,100.89078712871498
2020-01-07,104.78873942144656
2020-01-08,103.43613111012932
2020-01-09,101.2329052686961
2020-01-10,103.52716056279883
2020-01-11,101.78493521047707
2020-01-12,102.04953466897746
2020-01-13,103.73358568282701
2020-01-14,99.69116108624922
2020-01-15,100.3352900869147
2020-01-16,102.92724907275178
2020-01-17,102.2921051440425
2020-01-18,105.21140107228572
2020-01-19,103.03114418004921
2020-01-20,102.28596913918213
2020-01-21,108.30430822920495
2020-01-22,105.1828941117678
2020-01-23,106.02989324384968
2020-01-24,103.30463722211634
2020-01-25,105.32352440542465
2020-01-26,106.89110399270702
2020-01-27,104.62300686649517
2020-01-28,107.93084543077026
2020-01-29,106.23130184583731
2020-01-30,107.10095070296047
2020-01-31,106.73126819231358
2020-02-01,111.88812074839299
2020-02-02,108.40394858401547
2020-02-03,106.56135190949433
2020-02-04,110.5661032516656
2020-02-05,106.72193203087248
2020-02-06,109.82227646810048
2020-02-07,105.72442131809028
2020-02-08,107.22484290113856
2020-02-09,110.51059137440373
2020-02-10,111.82761629485826
2020-02-11,110.92535466013706
2020-02-12,110.5813381848799
2020-02-13,110.43848722536758
2020-02-14,108.30971582271671
2020-02-15,110.05110458886614
2020-02-16,110.79147997781857
2020-02-17,114.04686170687522
2020-02-18,112.83757332046633
2020-02-19,108.83980083459868
2020-02-20,113.22738421376306
2020-02-21,112.02014403175653
2020-02-22,111.64528122355527
2020-02-23,114.42898654679722
2020-02-24,115.47180235477482
2020-02-25,115.474162659018
2020-02-26,112.13256613168362
2020-02-27,113.38954541641881
2020-02-28,114.8650075588856
2020-02-29,116.34559504905953
2020-03-01,113.62566675722833
2020-03-02,114.39966756948445
2020-03-03,112.74271998057424
2020-03-04,112.74479022545863
2020-03-05,116.94145359275728
2020-03-06,118.2054419726719
2020-03-07,115.52284047781731
2020-03-08,117.84514229225066
2020-03-09,116.7298602181977
2020-03-10,114.88213595296929
2020-03-11,117.05821012219603
2020-03-12,119.57177299246256
2020-03-13,116.58154839091142
2020-03-14,119.93719103625385
2020-03-15,111.72030323026128
2020-03-16,118.75265926432543
2020-03-17,117.42916579461969
2020-03-18,116.8004172687412
2020-03-19,117.72244391222092
2020-03-20,113.70139301561487
2020-03-21,117.37190252204209
2020-03-22,118.65728358801383
2020-03-23,121.02774596239313
2020-03-24,117.16139559312342
2020-03-25,116.70399802213133
2020-03-26,117.43758455985333
2020-03-27,120.38907457050473
2020-03-28,119.32999743009282
2020-03-29,117.72424865713734
2020-03-30,119.91862342690646
2020-03-31,119.19160633562183
2020-04-01,121.03714548757296
2020-04-02,117.79519447020735
2020-04-03,118.64046256228342
