date,price
2020-01-01,101.04889100241283
2020-01-02,100.82024543352328
2020-01-03,102.18582339230878
2020-01-06,105.39904242509253
2020-01-07,104.95907197138
2020-01-08,104.52097241984801
2020-01-09,107.92882699663845
2020-01-10,109.6529847477157
2020-01-13,108.68254563036503
2020-01-14,109.92325146561886
2020-01-15,108.9636188472842
2020-01-16,108.00736933721512
2020-01-17,108.58558944640046
2020-01-20,104.56125792944358
2020-01-21,101.06609849046284
2020-01-22,99.98588166824847
2020-01-23,98.02988393479853
2020-01-24,98.69727300691655
2020-01-27,96.96953290842764
2020-01-28,94.3159919739501
2020-01-29,97.17016664071147
2020-01-30,96.78075966935434
2020-01-31,96.96002448752401
2020-02-03,94.28327469180485
2020-02-04,93.3089617839537
2020-02-05,93.56296278684917
2020-02-06,91.47948476324085
2020-02-07,92.2155431605777
2020-02-10,91.15997439278138
2020-02-11,90.6750329430045
2020-02-12,89.63518353018802
2020-02-13,93.06456316999345
2020-02-14,93.08597564802838
2020-02-17,91.18307665329135
2020-02-18,92.74188599168126
2020-02-19,90.55010483544642
2020-02-20,90.97462431893993
2020-02-21,87.52173928829642
2020-02-24,85.27006802693236
2020-02-25,85.6492711630223
2020-02-26,86.96711397035057
2020-02-27,87.30933720216039
2020-02-28,87.15119177251604
2020-03-02,86.6712627713075
2020-03-03,84.18796125952198
2020-03-04,83.02610271879202
2020-03-05,82.30585715708006
2020-03-06,84.10657276172823
2020-03-09,84.72892847974654
2020-03-10,81.83428441940245
2020-03-11,82.40762426474961
2020-03-12,81.81628562079352
2020-03-13,80.75645318435417
2020-03-16,81.79134247407255
2020-03-17,83.53714562590105
2020-03-18,85.1502201986756
2020-03-19,83.7748332063724
2020-03-20,83.29998716848466
2020-03-23,83.89564153236601
2020-03-24,85.59137907228076
2020-03-25,84.81743147725386
2020-03-26,84.54533522352811
2020-03-27,82.73652842653618
2020-03-30,80.82101917905592
2020-03-31,82.18621493676629
2020-04-01,84.488242871811
2020-04-02,84.40884415170451
2020-04-03,86.1631715863452
2020-04-06,86.83203002451586
2020-04-07,85.76175558378424
2020-04-08,86.42708237569457
2020-04-09,89.17152939441806
2020-04-10,89.15222399520923
2020-04-13,92.0321676015618
2020-04-14,87.3779761431222
2020-04-15,88.8705940121638
2020-04-16,89.06997111515912
2020-04-17,88.58318961467613
2020-04-20,88.7902921752673
2020-04-21,85.3726629330633
2020-04-22,85.04091602085744
2020-04-23,85.69330978634231
2020-04-24,88.30817080684476
2020-04-27,87.44125824564046
2020-04-28,86.08174443842125
2020-04-29,85.26484369983146
2020-04-30,86.88368438273746
2020-05-01,87.50056803752378
2020-05-04,86.62167570939391
2020-05-05,87.55922572191675
2020-05-06,87.77326722619041
2020-05-07,89.5350242009318
2020-05-08,88.33079655910352
2020-05-11,87.79772382625981
2020-05-12,87.1554593120243
2020-05-13,84.68369784319793
2020-05-14,85.22932112502184
2020-05-15,85.71832454432766
2020-05-18,85.76996559466458
2020-05-19,85.41119243799021
2020-05-20,83.06884620790534
2020-05-21,82.4141239925667
2020-05-22,81.89210102061851
2020-05-25,80.62888775646645
2020-05-26,80.40941569443446
2020-05-27,81.10237918208286
2020-05-28,84.2624232315253
2020-05-29,84.59943358461429
2020-06-01,85.07885898742248
2020-06-02,84.99476453364916
2020-06-03,81.83575383539169
2020-06-04,81.83327609012984
2020-06-05,81.97288839421049
2020-06-08,86.15546574744091
2020-06-09,85.8675666096412
2020-06-10,86.43019838228368
2020-06-11,86.41341220892562
2020-06-12,84.45926413733808
2020-06-15,86.45515093700854
2020-06-16,87.80903975739882
2020-06-17,89.25389782314654
2020-06-18,87.68907714717812
2020-06-19,90.22921174613279
2020-06-22,87.77846600536543
2020-06-23,88.85922274762801
2020-06-24,92.88502732773719
2020-06-25,91.10855763309836
2020-06-26,90.1275403309543
2020-06-29,90.35251106220716
2020-06-30,89.4920054024263
2020-07-01,86.80255246885892
2020-07-02,86.96513463872681
2020-07-03,85.17953562407459
2020-07-06,86.03318220172491
2020-07-07,84.50786244380743
2020-07-08,87.21211587703763
2020-07-09,85.89951638180581
2020-07-10,85.3906806222227
2020-07-13,86.83478697530737
2020-07-14,84.76561920254608
2020-07-15,85.19470000166568
2020-07-16,87.49503775926986
2020-07-17,84.76921241586722
2020-07-20,85.12536845946825
2020-07-21,85.61176786841618
2020-07-22,87.0044447328328
2020-07-23,84.92089635062553
2020-07-24,82.74892802176296
2020-07-27,83.6590734749613
2020-07-28,84.1995506495603
2020-07-29,84.6647585713316
2020-07-30,85.29607213033134
2020-07-31,84.18593893619995
2020-08-03,84.62019800655251
2020-08-04,85.16022096320854
2020-08-05,83.99417123233289
2020-08-06,87.23127253118166
2020-08-07,88.10590483990134
